"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000232006",5.88388712175435,1.58300894185986,0.545118377837312,2.90397279970682,0.00368460169663912,0.260992620178605
"ENSG00000019991",131.419172694738,2.15564846114856,0.494483246469251,4.35939635273892,1.30421707203045e-05,0.0120052243093614
"ENSG00000085563",56.908912185647,1.05253855421822,0.398454524008148,2.64155252556925,0.00825270094893363,0.357239609404232
"ENSG00000106302",5.24475768395298,3.26645613407471,0.776611265556249,4.2060375363408,2.59887087030595e-05,0.019085235461725
"ENSG00000227471",4.21215233853256,1.04050471484572,0.459118402153085,2.26631019354956,0.0234323977444371,0.493292516709449
"ENSG00000106565",6.47877825086734,1.28648532559757,0.486273642443292,2.64559954171812,0.00815462906233803,0.356241137451625
"ENSG00000236408",3.69766628748606,1.36709992035442,0.651701916884504,2.09773806848676,0.0359282900411505,0.544229444360605
"ENSG00000235649",2.23062633983416,2.02151375174997,1.01732576816434,1.98708596106592,0.0469128717192148,0.577660868426362
"ENSG00000236665",4.75364788255964,1.58029517269807,0.533723153858612,2.96088929489596,0.00306752178271208,0.241425325491228
"ENSG00000224177",6.51369137059121,1.10668822330255,0.505393286393637,2.18975647895842,0.0285419025875898,0.515624032119152
"ENSG00000227718",2.08654060422233,1.72385448686613,0.826290111820648,2.08625815824878,0.0369552446237299,0.54775076139243
"ENSG00000231200",8.69505986586505,2.62683165631202,0.811384190080086,3.23746960863601,0.00120594783703454,0.163021118068903
"ENSG00000234207",5.43322402697267,2.37912758599181,0.731987026215065,3.25023190410044,0.00115310935021587,0.159840501156605
"ENSG00000152689",192.758103636139,1.04330512197009,0.368853492232835,2.82850818533533,0.00467655051639706,0.289246107822895
"ENSG00000203386",2.67746478573414,1.31115596519006,0.584767722855851,2.24218251784952,0.0249495785523079,0.497436905129836
"ENSG00000238165",15.1243088140915,1.06003632262869,0.343051084954197,3.09002469055073,0.0020013985695577,0.202522474300482
"ENSG00000115507",111.961959384541,1.87839287575559,0.463217483744276,4.05509926044281,5.01130178999349e-05,0.0310596308858971
"ENSG00000152672",4.58392384155946,1.19931694368558,0.586077620926349,2.04634488822479,0.0407224502199193,0.550453744315203
"ENSG00000115353",485.042418808992,1.02093485756869,0.455698506172575,2.2403735007682,0.0250666851447096,0.497436905129836
"ENSG00000263909",5.08145343759472,1.50632822679318,0.438119096853086,3.4381706654944,0.000585658455882766,0.121246252676883
"ENSG00000212199",3.72442370397458,2.09762799276195,0.767337888361048,2.73364318975863,0.00626378814095138,0.328076931678351
"ENSG00000204434",12.123666183024,3.60677332419708,0.776041080796837,4.6476577251473,3.35725371977923e-06,0.00510153672308922
"ENSG00000224559",4.7565123804213,2.69651798427632,0.744646838470067,3.62120383108927,0.000293235364926912,0.0919905046340966
"ENSG00000251621",1.81032098106139,3.55362512076252,1.11464942266733,3.18811013444818,0.00143205980212588,0.179007475265734
"ENSG00000138435",17.4696672366425,1.30386891846766,0.505494567536553,2.57939254386424,0.00989742459291006,0.375453332495227
"ENSG00000236231",3.62269133853938,1.40703340399022,0.55419874551706,2.53886068016534,0.0111214101012044,0.385619988940363
"ENSG00000118231",5.5972945917009,2.13757861852878,0.65403053677743,3.26831623040288,0.00108189410315218,0.159338364201868
"ENSG00000144407",11.9498127310113,2.14598351718514,0.445243048337563,4.81980240948795,1.4370047438121e-06,0.00328853008680076
"ENSG00000168918",224.314151628296,1.14875062294056,0.322984935543139,3.55666935675745,0.000375586386837656,0.105342625186278
"ENSG00000227078",5.58654301213961,1.21741456242018,0.315239084129817,3.86187698070728,0.000112519223819477,0.0526223771367098
"ENSG00000264956",4.34547449452212,1.6797603343404,0.835385934400278,2.01075965630939,0.0443508493673058,0.566892837093055
